Product Name,Manufacturer,Manufacturer Website,Supplement Category,Serving Size,Effectiveness Rating,Number of Ingredients,Research Rating,Nutrition Label Transparency Score,Ranking within Supplement Category,Ranking within all Supplement Products,Updated Month Day,Updated Year,Manufacturer Social Media,Similarity Index,Number of Active Ingredients,Calories per Serving,Protein per Serving,Protein Percent of Calories,Protein Percent of Serving Size,Nutrition Label Fat Content Transparency Score,Fat (%),Carbohydrates (%),Protein (%),Macros details
Whey Protein Isolate,Dexter Jackson Signature Series,https://dextersupplements.com,Protein Supplements,31g,2.4 out of 3,,80 ,60%,34 out of 446 (top third within category),55 out of 4597 (top third of all products),October 03,2021,https://instagram.com/dextersupplements,,2,110,25.00g,91%,81%,100%,4,7,91,"Whey Protein Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,Bodytech,https://www.vitaminshoppe.com/lp/bodytech,Protein Supplements,31.62g,2.4 out of 3,,80 ,75%,35 out of 446 (top third within category),56 out of 4597 (top third of all products),March 30,2021,,,1,110,25.00g,91%,79%,100%,8,11,91,"Whey Protein Isolate contains 110 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,EarthNutri,https://earthnutri.com,Protein Supplements,33.9g,2.4 out of 3,,80 ,100%,36 out of 446 (top third within category),57 out of 4597 (top third of all products),April 04,2021,https://instagram.com/earthnutri,,1,120,25.00g,83%,74%,0%,4,13,83,"Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein Isolate,Be Empowered,https://beempowerednutrition.com,Protein Supplements,28.3g,2.4 out of 3,,80 ,83%,37 out of 446 (top third within category),58 out of 4597 (top third of all products),April 06,2021,https://instagram.com/be.empowered.nutrition,,1,100,24.00g,96%,85%,100%,0,0,96,"Whey Protein Isolate contains 100 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein Isolate,Iron Forged Nutrition,https://ironforgednutrition.com,Protein Supplements,32g,2.4 out of 3,,80 ,100%,38 out of 446 (top third within category),59 out of 4597 (top third of all products),January 04,2021,https://instagram.com/ironforgednutrition,,1,120,25.50g,85%,80%,33%,4,7,85,"Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  102 calories (25.50g)."
Whey Protein Concentrate,Sheer Strength Labs,https://www.sheerstrengthlabs.com,Protein Supplements,29.3g,2.4 out of 3,,80 ,67%,39 out of 446 (top third within category),60 out of 4597 (top third of all products),January 23,2022,https://instagram.com/sheerstrengthlabs,,1,110,21.00g,76%,72%,100%,16,11,76,"Whey Protein Concentrate contains 110 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  84 calories (21.00g)."
Whey Protein Concentrate,Iron Forged Nutrition,https://ironforgednutrition.com,Protein Supplements,35.42g,2.4 out of 3,,80 ,100%,40 out of 446 (top third within category),61 out of 4597 (top third of all products),January 04,2021,https://instagram.com/ironforgednutrition,,1,130,25.50g,78%,72%,33%,17,8,78,"Whey Protein Concentrate contains 130 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  10 calories (2.50g), and protein accounts for  102 calories (25.50g)."
Whey Protein,Bodytech,https://www.vitaminshoppe.com/lp/bodytech,Protein Supplements,25g,2.4 out of 3,,80 ,75%,41 out of 446 (top third within category),62 out of 4597 (top third of all products),March 30,2021,,,1,90,17.00g,76%,68%,100%,20,13,76,"Whey Protein contains 90 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  68 calories (17.00g)."
Whey Protein,Leo Supplements,https://leosupplements.com,Protein Supplements,33.9g,2.4 out of 3,,80 ,36%,42 out of 446 (top third within category),63 out of 4597 (top third of all products),January 02,2021,https://instagram.com/leosupplements,,2,130,25.00g,77%,74%,100%,14,6,77,"Whey Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Protein,Anabolic Warfare,https://anabolicwarfare.com/,Protein Supplements,32.6g,2.4 out of 3,,80 ,100%,43 out of 446 (top third within category),64 out of 4597 (top third of all products),September 05,2020,https://instagram.com/anabolicwarfare,,2,120,24.00g,80%,74%,33%,8,10,80,"Whey Protein contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Whey Protein,Stacker2 Europe,https://www.stacker2europe.com,Protein Supplements,30g,2.4 out of 3,,80 ,0%,44 out of 446 (top third within category),65 out of 4597 (top third of all products),January 19,2020,https://instagram.com/stacker2europe,,1,119,27.00g,91%,90%,100%,8,3,91,"Whey Protein contains 119 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  108 calories (27.00g)."
Whey Plus,Legion Athletics,https://legionathletics.com,Protein Supplements,28.9g,2.4 out of 3,,80 ,75%,45 out of 446 (top third within category),66 out of 4597 (top third of all products),August 25,2020,https://instagram.com/legionath,,1,100,22.00g,88%,76%,100%,0,12,88,"Whey Plus contains 100 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  88 calories (22.00g)."
Whey Isolate Protein,Bloom Nutrition,https://bloomnu.com/,Protein Supplements,27.6g,2.4 out of 3,,80 ,67%,46 out of 446 (top third within category),67 out of 4597 (top third of all products),August 29,2020,https://instagram.com/bloomsupps,,1,110,22.00g,80%,80%,100%,0,18,80,"Whey Isolate Protein contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  20 calories (5.00g), and protein accounts for  88 calories (22.00g)."
Whey Isolate,Frag Supplements,https://www.fragsupplements.com/,Protein Supplements,30g,2.4 out of 3,,80 ,83%,47 out of 446 (top third within category),68 out of 4597 (top third of all products),March 13,2021,https://instagram.com/fragsupplements,,1,110,25.00g,91%,83%,100%,0,11,91,"Whey Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Whey Isolate,Pro Supps,https://www.prosupps.com,Protein Supplements,32.1g,2.4 out of 3,,80 ,60%,48 out of 446 (top third within category),69 out of 4597 (top third of all products),March 29,2021,https://instagram.com/prosupps,,1,110,25.00g,91%,78%,100%,4,7,91,"Whey Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Whey Gold,Dexter Jackson Signature Series,https://dextersupplements.com,Protein Supplements,34g,2.4 out of 3,,80 ,40%,49 out of 446 (top third within category),70 out of 4597 (top third of all products),October 03,2021,https://instagram.com/dextersupplements,,3,130,24.00g,74%,71%,100%,17,9,74,"Whey Gold contains 130 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Whey 80,Conteh Sports,https://contehsports.com,Protein Supplements,25g,2.4 out of 3,,80 ,100%,50 out of 446 (top third within category),71 out of 4597 (top third of all products),March 26,2021,https://instagram.com/contehsports,,1,99,18.83g,76%,75%,33%,16,8,76,"Whey 80 contains 99 calories per serving. Of that, fat accounts for 15.75 calories (1.750g), carbohydrates account for  8 calories (2.00g), and protein accounts for  75.32 calories (18.83g)."
Whey,Naughty Boy Lifestyle,https://naughtyboylifestyle.com/,Protein Supplements,33.3g,2.4 out of 3,,80 ,100%,51 out of 446 (top third within category),72 out of 4597 (top third of all products),November 05,2022,https://instagram.com/naughtyboylifestyle,,3,126.5,27.00g,85%,81%,33%,0,9,85,"Whey contains 126.5 calories per serving. Of that, fat accounts for 0.45 calories (0.050g), carbohydrates account for  12 calories (3.00g), and protein accounts for  108 calories (27.00g)."
Veterans Day Impact Whey Isolate,Myprotein,https://www.myprotein.com,Protein Supplements,25g,2.4 out of 3,,80 ,0%,52 out of 446 (top third within category),73 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,1,90,21.00g,93%,84%,100%,5,9,93,"Veterans Day Impact Whey Isolate contains 90 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  84 calories (21.00g)."
Vascular Whey,Vascular Nutrition,https://www.vascularnutrition.com/,Protein Supplements,36.9g,2.4 out of 3,,80 ,33%,53 out of 446 (top third within category),74 out of 4597 (top third of all products),November 30,2020,https://instagram.com/vascularnutrition,,1,140,30.00g,86%,81%,100%,0,9,86,"Vascular Whey contains 140 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  120 calories (30.00g)."
V1 Protein,V1 Nutra,https://v1nutra.com,Protein Supplements,32g,2.4 out of 3,,80 ,33%,54 out of 446 (top third within category),75 out of 4597 (top third of all products),November 03,2022,https://instagram.com/v1nutra,,2,130,25.00g,77%,78%,100%,14,9,77,"V1 Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Tower Guard Zeal,Kingdom Nutrition,https://kingdomnutrition.com,Protein Supplements,43.4g,2.4 out of 3,,80 ,80%,55 out of 446 (top third within category),76 out of 4597 (top third of all products),October 03,2020,https://instagram.com/kingdomnutrition,,1,160,30.00g,75%,69%,100%,6,20,75,"Tower Guard Zeal contains 160 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  32 calories (8.00g), and protein accounts for  120 calories (30.00g)."
THE Whey,Myprotein,https://www.myprotein.com,Protein Supplements,32g,2.4 out of 3,,80 ,0%,56 out of 446 (top third within category),77 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,3,120,25.00g,83%,78%,100%,11,7,83,"THE Whey contains 120 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
The ISO:Whey,Myprotein,https://www.myprotein.com,Protein Supplements,30g,2.4 out of 3,,80 ,0%,57 out of 446 (top third within category),78 out of 4597 (top third of all products),August 29,2020,https://instagram.com/myproteinus,,1,110,25.00g,91%,83%,100%,4,7,91,"The ISO:Whey contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
TB12 Whey Protein Isolate,TB12,https://tb12sports.com,Protein Supplements,22g,2.4 out of 3,,80 ,0%,58 out of 446 (top third within category),79 out of 4597 (top third of all products),September 07,2020,https://instagram.com/tb12sports,,1,80,20.00g,100%,91%,100%,0,0,100,"TB12 Whey Protein Isolate contains 80 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  80 calories (20.00g)."
Superhuman Protein,Alpha Lion,https://www.alphalion.com/,Protein Supplements,37g,2.4 out of 3,,80 ,100%,59 out of 446 (top third within category),80 out of 4597 (top third of all products),December 16,2020,https://instagram.com/alpha.lion,,1,150,27.00g,72%,73%,0%,12,21,72,"Superhuman Protein contains 150 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  32 calories (8.00g), and protein accounts for  108 calories (27.00g)."
Slim Whey,LA Muscle,https://lamuscle.com,Protein Supplements,70g,2.4 out of 3,,80 ,50%,60 out of 446 (top third within category),81 out of 4597 (top third of all products),January 05,2021,https://instagram.com/lamuscle_usa,,2,260,50.00g,77%,71%,100%,14,11,77,"Slim Whey contains 260 calories per serving. Of that, fat accounts for 36 calories (4.000g), carbohydrates account for  28 calories (7.00g), and protein accounts for  200 calories (50.00g)."
Signature 100% Whey Protein,BodyBuilding.com,https://www.bodybuilding.com,Protein Supplements,34g,2.4 out of 3,,80 ,40%,61 out of 446 (top third within category),82 out of 4597 (top third of all products),March 30,2021,https://instagram.com/bodybuildingcom,,3,130,25.00g,77%,74%,100%,14,9,77,"Signature 100 Percent Whey Protein contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Signature 100% Whey Isolate,BodyBuilding.com,https://www.bodybuilding.com,Protein Supplements,30g,2.4 out of 3,,80 ,50%,62 out of 446 (top third within category),83 out of 4597 (top third of all products),March 30,2021,https://instagram.com/bodybuildingcom,,2,110,25.00g,91%,83%,100%,4,7,91,"Signature 100 Percent Whey Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Rival Whey Warm Ups,RIVALUS,https://www.rivalus.net,Protein Supplements,34g,2.4 out of 3,,80 ,75%,63 out of 446 (top third within category),84 out of 4597 (top third of all products),September 07,2020,https://instagram.com/rivalus,,1,120,24.00g,80%,71%,100%,11,10,80,"Rival Whey Warm Ups contains 120 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Rival Whey,RIVALUS,https://www.rivalus.net,Protein Supplements,30.1g,2.4 out of 3,,80 ,40%,64 out of 446 (top third within category),85 out of 4597 (top third of all products),September 07,2020,https://instagram.com/rivalus,,3,120,24.00g,80%,80%,100%,8,10,80,"Rival Whey contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  96 calories (24.00g)."
Ration,REDCON1,https://redcon1.com,Protein Supplements,31.6g,2.4 out of 3,,80 ,50%,65 out of 446 (top third within category),87 out of 4597 (top third of all products),October 03,2020,https://instagram.com/redcon1,,2,120,25.00g,83%,79%,100%,11,10,83,"Ration contains 120 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
R1 Whey Blend,Rule 1,https://www.ruleoneproteins.com,Protein Supplements,33g,2.4 out of 3,,80 ,40%,66 out of 446 (top third within category),88 out of 4597 (top third of all products),September 05,2020,https://instagram.com/ruleoneproteins,,3,130,24.00g,74%,73%,100%,10,12,74,"R1 Whey Blend contains 130 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
R1 Protein,Rule 1,https://www.ruleoneproteins.com,Protein Supplements,30.4g,2.4 out of 3,,80 ,60%,67 out of 446 (top third within category),89 out of 4597 (top third of all products),September 05,2020,https://instagram.com/ruleoneproteins,,2,110,25.00g,91%,82%,100%,4,7,91,"R1 Protein contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
PS Whey,Pro Supps,https://www.prosupps.com,Protein Supplements,33g,2.4 out of 3,,80 ,50%,68 out of 446 (top third within category),90 out of 4597 (top third of all products),September 05,2020,https://instagram.com/prosupps,,2,130,24.00g,74%,73%,100%,10,12,74,"PS Whey contains 130 calories per serving. Of that, fat accounts for 13.5 calories (1.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
Proven Whey,Gaspari Nutrition,https://gasparinutrition.com,Protein Supplements,32g,2.4 out of 3,,80 ,67%,69 out of 446 (top third within category),91 out of 4597 (top third of all products),October 19,2020,https://instagram.com/gaspari,,1,120,25.00g,83%,78%,100%,4,7,83,"Proven Whey contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Protein and Health,Evertrain,https://evertrain.fit/,Protein Supplements,34.6g,2.4 out of 3,,80 ,0%,70 out of 446 (top third within category),92 out of 4597 (top third of all products),October 11,2020,https://instagram.com/evertrain,,2,133,25.00g,75%,72%,100%,17,10,75,"Protein and Health contains 133 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  13.2 calories (3.30g), and protein accounts for  100 calories (25.00g)."
ProHD Isolate,HD Muscle,https://hdmuscle.com/,Protein Supplements,31.3g,2.4 out of 3,,80 ,25%,71 out of 446 (top third within category),93 out of 4597 (top third of all products),March 23,2021,https://instagram.com/hd.muscle,,1,110,25.00g,91%,80%,100%,0,7,91,"ProHD Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Premium Protein Blend,Tasty Nutrition,https://tasty-nutrition.com,Protein Supplements,37g,2.4 out of 3,,80 ,100%,72 out of 446 (top third within category),94 out of 4597 (top third of all products),September 26,2020,https://instagram.com/tastynutrition.us,,2,103,24.00g,93%,65%,100%,9,16,93,"Premium Protein Blend contains 103 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
Power Whey,Blue Print Supplements,https://blueprintsupplements.com,Protein Supplements,30.6g,2.4 out of 3,,80 ,67%,73 out of 446 (top third within category),95 out of 4597 (top third of all products),April 07,2021,https://instagram.com/bpsupps,,2,111,26.00g,94%,85%,100%,4,5,94,"Power Whey contains 111 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  5.6 calories (1.40g), and protein accounts for  104 calories (26.00g)."
Post Edge,LionEdge Nutrition,https://lionedgenutrition.com/,Protein Supplements,45g,2.4 out of 3,,80 ,100%,74 out of 446 (top third within category),96 out of 4597 (top third of all products),October 18,2020,https://instagram.com/lionedge_nutrition,,1,120,25.00g,83%,56%,100%,0,10,83,"Post Edge contains 120 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
Podium Whey,Podium,https://www.321podium.com,Protein Supplements,34.2g,2.4 out of 3,,80 ,27%,75 out of 446 (top third within category),97 out of 4597 (top third of all products),October 01,2021,https://instagram.com/321podium,,2,120,25.00g,83%,73%,100%,8,7,83,"Podium Whey contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Platinum Hydro Whey,Optimum Nutrition,https://www.optimumnutrition.com/,Protein Supplements,39g,2.4 out of 3,,80 ,75%,76 out of 446 (top third within category),98 out of 4597 (top third of all products),August 29,2020,https://instagram.com/optimumnutrition,,1,140,30.00g,86%,77%,100%,6,9,86,"Platinum Hydro Whey contains 140 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  120 calories (30.00g)."
Phenomenal Whey,Platinum Labs,https://platinumlabs.com,Protein Supplements,36.3g,2.4 out of 3,,80 ,0%,77 out of 446 (top third within category),99 out of 4597 (top third of all products),March 24,2021,https://instagram.com/platinum_labs,,2,140,26.00g,74%,72%,100%,15,13,74,"Phenomenal Whey contains 140 calories per serving. Of that, fat accounts for 20.7 calories (2.300g), carbohydrates account for  18.8 calories (4.70g), and protein accounts for  104 calories (26.00g)."
Perfect,Perfect Sports,https://perfectsports.com,Protein Supplements,35g,2.4 out of 3,,80 ,75%,78 out of 446 (top third within category),100 out of 4597 (top third of all products),September 06,2020,https://instagram.com/perfectsportstm,,1,130,24.00g,74%,69%,100%,14,12,74,"Perfect contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
Nitro Tech Elite,MuscleTech,https://www.muscletech.com/,Protein Supplements,44g,2.4 out of 3,,80 ,70%,79 out of 446 (top third within category),101 out of 4597 (top third of all products),September 05,2020,https://instagram.com/muscletech,,1,130,30.00g,92%,68%,100%,3,9,92,"Nitro Tech Elite contains 130 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  120 calories (30.00g)."
New Zealand Whey,ATP Lab,https://atplab.com,Protein Supplements,30g,2.4 out of 3,,80 ,75%,80 out of 446 (top third within category),102 out of 4597 (top third of all products),October 05,2020,https://instagram.com/atp_labs,,1,119,23.00g,77%,77%,100%,13,15,77,"New Zealand Whey contains 119 calories per serving. Of that, fat accounts for 15.3 calories (1.700g), carbohydrates account for  18 calories (4.50g), and protein accounts for  92 calories (23.00g)."
Natural Whey Protein,True Athlete,https://www.vitaminshoppe.com/b/true-athlete,Protein Supplements,30g,2.4 out of 3,,80 ,75%,81 out of 446 (top third within category),103 out of 4597 (top third of all products),March 30,2021,,,1,110,20.00g,73%,67%,100%,16,15,73,"Natural Whey Protein contains 110 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  80 calories (20.00g)."
Natural Whey Isolate,Bodylogix,https://www.bodylogix.com,Protein Supplements,31g,2.4 out of 3,,80 ,67%,82 out of 446 (top third within category),104 out of 4597 (top third of all products),December 30,2020,https://instagram.com/bodylogix,,1,110,25.00g,91%,81%,100%,0,7,91,"Natural Whey Isolate contains 110 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Natural Isolate,Bodylogix,https://www.bodylogix.com,Protein Supplements,30g,2.4 out of 3,,80 ,100%,83 out of 446 (top third within category),105 out of 4597 (top third of all products),December 30,2020,https://instagram.com/bodylogix,,1,110,25.00g,91%,83%,0%,4,7,91,"Natural Isolate contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
Naked Whey,Naked Nutrition,https://nakednutrition.com/,Protein Supplements,30g,2.4 out of 3,,80 ,86%,84 out of 446 (top third within category),106 out of 4597 (top third of all products),October 03,2020,https://instagram.com/nakednutrition,,1,120,25.00g,83%,83%,100%,15,10,83,"Naked Whey contains 120 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
N-Whey,ANS Performance,https://ansperformance.com/,Protein Supplements,30g,2.4 out of 3,,80 ,50%,85 out of 446 (top third within category),107 out of 4597 (top third of all products),December 23,2021,https://instagram.com/ansperformance,,3,110,22.00g,80%,73%,100%,16,7,80,"N-Whey contains 110 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  88 calories (22.00g)."
MyoMix,AstroFlav,https://astroflav.com,Protein Supplements,34.1g,2.4 out of 3,,80 ,60%,86 out of 446 (top third within category),108 out of 4597 (top third of all products),June 28,2021,https://instagram.com/astro_flav,,2,130,24.00g,74%,70%,100%,17,12,74,"MyoMix contains 130 calories per serving. Of that, fat accounts for 22.5 calories (2.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  96 calories (24.00g)."
Mutant PRO,Mutant,https://www.iammutant.com,Protein Supplements,31g,2.4 out of 3,,80 ,50%,87 out of 446 (top third within category),109 out of 4597 (top third of all products),September 26,2020,https://instagram.com/mutantnation,,3,120,24.00g,80%,77%,100%,8,7,80,"Mutant PRO contains 120 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  96 calories (24.00g)."
Milky Whey,Cosmic Industries,https://www.cosmic-industries.com,Protein Supplements,30g,2.4 out of 3,,80 ,50%,88 out of 446 (top third within category),110 out of 4597 (top third of all products),August 25,2020,https://instagram.com/cosmicindustries.llc,,1,104,25.00g,96%,83%,100%,0,4,96,"Milky Whey contains 104 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  100 calories (25.00g)."
Micropure Whey Protein Isolate,Kaged Muscle,https://www.kagedmuscle.com/,Protein Supplements,33.4g,2.4 out of 3,,80 ,80%,89 out of 446 (top third within category),111 out of 4597 (top third of all products),August 29,2020,https://instagram.com/kagedmusclesupps,,1,120,25.00g,83%,75%,100%,4,13,83,"Micropure Whey Protein Isolate contains 120 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  16 calories (4.00g), and protein accounts for  100 calories (25.00g)."
Lean 1 Zero,Nutrition53,https://www.nutrition53.com,Protein Supplements,30g,2.4 out of 3,,80 ,67%,90 out of 446 (top third within category),112 out of 4597 (top third of all products),November 30,2020,https://instagram.com/nutrition53,,1,100,25.00g,100%,83%,100%,0,0,100,"Lean 1 Zero contains 100 calories per serving. Of that, fat accounts for 0 calories (0.000g), carbohydrates account for  0 calories (0.00g), and protein accounts for  100 calories (25.00g)."
King Whey,Ronnie Coleman Signature Series,https://ronniecoleman.net,Protein Supplements,34g,2.4 out of 3,,80 ,67%,91 out of 446 (top third within category),113 out of 4597 (top third of all products),February 26,2021,https://instagram.com/rcss_supplements,,2,130,25.00g,77%,74%,100%,14,12,77,"King Whey contains 130 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  100 calories (25.00g)."
ISOTOPE,REDCON1,https://redcon1.com,Protein Supplements,32g,2.4 out of 3,,80 ,50%,92 out of 446 (top third within category),114 out of 4597 (top third of all products),October 03,2020,https://instagram.com/redcon1,,2,130,25.00g,77%,78%,100%,3,9,77,"ISOTOPE contains 130 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  100 calories (25.00g)."
ISOTEAN,iForce Nutrition,,Protein Supplements,34g,2.4 out of 3,,80 ,100%,93 out of 446 (top third within category),115 out of 4597 (top third of all products),October 17,2020,https://instagram.com/iforcenutrition,,1,140,30.00g,86%,88%,0%,3,9,86,"ISOTEAN contains 140 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  12 calories (3.00g), and protein accounts for  120 calories (30.00g)."
ISOSHOCK,TC Nutrition,https://tc-nutrition.com,Protein Supplements,30g,2.4 out of 3,,80 ,50%,94 out of 446 (top third within category),116 out of 4597 (top third of all products),October 05,2020,https://instagram.com/tc.nutrition,,1,121,27.00g,89%,90%,100%,7,3,89,"ISOSHOCK contains 121 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  4 calories (1.00g), and protein accounts for  108 calories (27.00g)."
ISOPRO,DNM Nutra,https://dnmnutra.com/,Protein Supplements,30.5g,2.4 out of 3,,80 ,50%,95 out of 446 (top third within category),117 out of 4597 (top third of all products),August 29,2020,https://instagram.com/dnm.nutra.inc,,1,110,25.00g,91%,82%,100%,8,7,91,"ISOPRO contains 110 calories per serving. Of that, fat accounts for 9 calories (1.000g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
IsoPept Zero,EHP Labs,https://ehplabs.com,Protein Supplements,30g,2.4 out of 3,,80 ,33%,96 out of 446 (top third within category),118 out of 4597 (top third of all products),October 11,2020,https://instagram.com/ehplabs,,2,110,25.00g,91%,83%,100%,4,7,91,"IsoPept Zero contains 110 calories per serving. Of that, fat accounts for 4.5 calories (0.500g), carbohydrates account for  8 calories (2.00g), and protein accounts for  100 calories (25.00g)."
IsoMix,AstroFlav,https://astroflav.com,Protein Supplements,35.88g,2.4 out of 3,,80 ,67%,97 out of 446 (top third within category),119 out of 4597 (top third of all products),June 28,2021,https://instagram.com/astro_flav,,1,140,26.00g,74%,72%,100%,13,11,74,"IsoMix contains 140 calories per serving. Of that, fat accounts for 18 calories (2.000g), carbohydrates account for  16 calories (4.00g), and protein accounts for  104 calories (26.00g)."
